"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"HLA-DRB1",-0.0175981445231232,3.52250180813928,-0.364583383819938,0.71580716276451,0.785325591656491,-7.31971837508766
"IFNA8",0.0175944859064772,-0.0519567881495875,0.368967083178068,0.712542106029018,0.784828421896187,-7.31810968021684
"IQCK",-0.0175910586677195,3.14788716906249,-0.582966585634833,0.560571755292841,0.658894157775668,-7.21625115986257
"OR5V1",-0.0175747541705514,-0.0144038776684011,-0.669234847226845,0.50411657708259,0.606800856865855,-7.16227968091296
"IFNA4",-0.0175499093871414,-0.0154543978185275,-0.699340277357865,0.485150983549343,0.589251851576325,-7.14170228312593
"RNU4ATAC",-0.0175488157374806,-0.0748317027187299,-0.257977624144835,0.796689127737832,0.848765336158011,-7.35292625950315
"THUMPD2",0.0175470999688012,3.01606305487538,0.95038422434147,0.34306276277195,0.447099840422814,-6.93509574347866
"CCDC25",-0.0175418682740016,3.29297781504159,-0.96024540632636,0.338089800622304,0.441704329119557,-6.92570675603781
"C1orf189",-0.0175380360563397,0.574574770575214,-0.0726006421863884,0.94219638357547,0.958172364323064,-7.38359865061943
"MRAP",0.0175360775569875,0.00170526691112193,0.347965764435898,0.728231423302559,0.793221157349723,-7.32564220976018
"TMEM54",0.0175344253093122,3.20620750346857,0.383977667872481,0.701402429472603,0.775398307894581,-7.3124557838424
"CCNY",-0.0175317169083447,3.4507128330961,-1.44181114505166,0.150917839805141,0.225003358235676,-6.35095377523609
"SLC25A26",-0.0175169178788113,3.10424840768457,-0.851677092666272,0.395410766854178,0.502644610325419,-7.02377961004506
"KDM5A",-0.0175047400003416,3.31535683446979,-1.11066402251148,0.268044924385098,0.365056317334693,-6.77060445747466
"TMEM55B",0.0174948953619243,3.20624052279478,1.11834680033694,0.264758805916253,0.361200142566728,-6.76208464118755
"NAIF1",-0.0174910113401943,2.96556339534518,-0.515442367530814,0.606812538484802,0.698093386860736,-7.25332441178605
"KRTAP5-5",-0.0174815135372326,-0.0564070956373616,-0.248565897884998,0.803951341650669,0.854162532481543,-7.35531210367573
"HDAC10",0.0174783600313329,3.14856805641814,0.608326171900112,0.543660587380057,0.64306788543646,-7.2011543815135
"KILLIN",0.0174768403923125,2.28380185065346,0.198020885221477,0.843229614171103,0.885733942616863,-7.36660928112877
"GTF2H3",-0.0174613212072501,2.8143226391018,-0.355416095385941,0.72265201004243,0.789447597036995,-7.32302044811646
"ACTR1A",0.0174506551446467,3.53378177698904,1.23665536127871,0.217663571930625,0.307389350197913,-6.62357261074713
"METTL8",0.0174386516291456,3.03387494342402,0.812110935053449,0.417692391142873,0.524929862500564,-7.05662032966756
"DHRS4",-0.0174373245598396,3.24291566944986,-0.683608218933216,0.495012889963122,0.598596060108429,-7.1525677255197
"REXO1",-0.0174257750616538,3.25541919367832,-1.16097909475158,0.247032599336635,0.341728146442818,-6.71375414196505
"C12orf71",-0.0174234830409845,-0.179616572286736,-0.155918398713875,0.876254419753819,0.91106768548884,-7.37406797997544
"WFDC5",0.0174209383964997,0.0116341424176685,0.151382709177177,0.879826234855213,0.913697096401124,-7.37476565269385
"OR1A2",-0.0174176197147777,-0.0153379039279386,-0.636057512466226,0.525465282797493,0.626287982117009,-7.18391274573875
"SLC6A12",0.0174042980217219,2.49756326675025,0.120524431609198,0.904188577716511,0.930509372839253,-7.3789656328541
"PRR25",-0.0173836661746728,-0.10734899806496,-0.22848615747232,0.819501490939669,0.866490213186627,-7.36010607574773
"PML",-0.0173802999003967,3.46869099074954,-0.891305173608428,0.373835233556488,0.479814269302245,-6.98933347603781
"ZBTB45",-0.0173685181987491,3.11121536214312,-0.859112340850031,0.391305854198168,0.49836962886786,-7.01743510692452
"SPHK1",-0.0173531197783428,2.81110738812555,-0.305612624165111,0.76021708718367,0.819336499108848,-7.33949207645655
"PGRMC2",-0.0173480851424404,3.39871701325859,-1.34922217090575,0.178789273936569,0.259791077235059,-6.47906760976447
"TCP10",-0.0173336092283245,-0.0776745741614809,-0.184319339077259,0.853949480065112,0.893733041071573,-7.36923129877573
"ATF4",0.0173192845692132,3.68502676062351,1.40338463567767,0.162051019795595,0.238810157956781,-6.40513565640291
"FAM71B",-0.0172952157864141,-0.0152301153940064,-0.566651696050975,0.571585454595104,0.66902988473199,-7.22562493702194
"SIX6",0.0172794772121118,-0.0271401108114824,0.204652597879104,0.838051432113565,0.881765581063098,-7.36527272818668
"VASP",0.017274287192564,3.48274497724754,0.896946522460852,0.370824583332862,0.4766528148715,-6.98430344992478
"RPL10L",0.0172736436220587,0.0721421309382955,0.123135223569508,0.902123525720331,0.929077377114538,-7.37864719896807
"LOC348840",0.0172725249384463,-0.158191444087458,0.172321697907116,0.863358672313101,0.901286877986909,-7.3713729738547
"CCDC41",0.0172589805770631,3.00889432703769,0.524457432092878,0.600540526028375,0.693197577975923,-7.24863770464698
"FBXO10",-0.0172568218825098,2.96472979274819,-0.658427806517208,0.511019618925369,0.613464213729608,-7.16944658894602
"FNTA",0.017256484748124,3.41396127028043,1.147267503783,0.252640039749273,0.347908797989995,-6.72949307672447
"DUSP21",-0.0172557947019815,-0.01519540130473,-0.665202771357736,0.506686272264367,0.609347999068947,-7.16496721843699
"SAA3P",-0.0172436331090491,-0.015184691842297,-0.637328541617447,0.52463890922082,0.62577839162198,-7.18310415335775
"SNORA46",0.0172332034212093,-0.0463292123432508,0.337498358307344,0.73609478085884,0.799538913814493,-7.32923195631284
"C6orf70",-0.0172308299192614,3.1085216579763,-0.804377916827148,0.422132736088222,0.529136399907549,-7.06285764238489
"OR51B6",-0.0172307538373501,-0.0151733503940844,-0.601103947137597,0.548450614610372,0.647365764703234,-7.20551905797835
"OCIAD1",-0.017230060579724,3.48732396539299,-1.2184119141027,0.224501097895364,0.315363871047208,-6.64582607026708
"WDR33",0.0172074188756062,3.40601726967748,2.05976483381285,0.0407145309373063,0.0721328040194882,-5.28462370469196
"CCDC112",0.0172055579505122,2.93730788769177,0.479274136077756,0.632266634902541,0.718723131941169,-7.27131243264091
"MAN2B2",-0.0171933300927063,3.37455866136069,-0.821794536479967,0.412171286525985,0.519721143532015,-7.04872611604238
"SIGMAR1",0.0171888929048065,3.39322238941227,0.840370114379208,0.401703243688793,0.509069999595803,-7.03332292305306
"OR4A47",-0.0171824857731611,-0.0151308456808433,-0.625795788835527,0.532161539407494,0.632734669612958,-7.19038207197464
"DCAF4",0.0171589702085306,3.02461592646833,0.713403123759071,0.476426984092585,0.581600542584944,-7.13178147208844
"ZNF701",-0.0171454012751751,2.71473116469105,-0.48804842651714,0.626049532635772,0.713547745030737,-7.26706848520659
"KIN",0.0171327089503484,3.00223307078247,0.697311286865561,0.486416840284952,0.590504593564797,-7.14311743610928
"IDH3A",-0.0171315354838382,3.27919103129692,-0.947197948269724,0.344679607566405,0.448829646014257,-6.9381089176676
"RHAG",0.0171170022901735,-0.0535694194633744,0.196902630160605,0.84410345112535,0.88646699205894,-7.36683031798129
"CD53",-0.017114137287964,3.06106102577372,-0.365029547440915,0.715474611550646,0.785325591656491,-7.31955552322132
"PGAM4",0.0170915660493143,2.44042906865534,0.25356468152593,0.800092046955853,0.851338833995533,-7.35405595950042
"MGC2752",-0.0170836401449317,3.22491626520349,-0.772924425982009,0.440478537578768,0.546590492687343,-7.08761629302222
"NSUN6",-0.0170777847548562,2.963002223781,-0.702862577818742,0.482957748101843,0.587402316634491,-7.13923587970879
"SERTAD2",-0.0170648493235861,3.24764231444104,-0.628192468034289,0.530593705044953,0.631280259217148,-7.18888050727966
"EPHA10",0.0170571631324263,1.56121753971692,0.075074499248213,0.940230387963897,0.956559930724516,-7.38341577078224
"PRAF2",-0.0170528345997982,3.3376097773268,-0.652975247257849,0.51452125487295,0.616709362773306,-7.17301847208365
"EGR4",-0.0170506003791839,0.593880891543432,-0.0779903433352632,0.937913613454775,0.954588475414272,-7.38319235045061
"OR5D18",-0.0170501180754652,-0.0150142830813798,-0.615984708213172,0.538604198415639,0.638623901281173,-7.19646928994691
"C11orf64",-0.0170425022813748,-0.0150075766358375,-0.613854047472528,0.540008533854224,0.639762006331734,-7.19777857960135
"MDP1",-0.0170423339052626,2.93820934538489,-0.609115474846445,0.54313836861336,0.642601060705016,-7.20067422633165
"ITPKA",0.0170411354347797,1.90047684689016,0.119334746778877,0.905129797384457,0.931115228925839,-7.37910847377901
"ATP1B1",0.0170167716803991,3.54921178219141,0.600329869236809,0.548965252909804,0.647783498939243,-7.20598378218977
"POTED",-0.0170089636525335,-0.0149780426193951,-0.568377478393266,0.570415541004725,0.667893292666253,-7.22464592477486
"GTF3C1",0.0170068259858782,3.50048338118845,1.36569836988952,0.173565758123785,0.253315245306901,-6.45687970640247
"FKBP1A",0.0169922670479909,3.63895686519752,1.40445265349147,0.161733370745333,0.238481571336836,-6.40364911838881
"PMPCB",-0.0169869871116792,3.39082990798256,-1.31582997258247,0.189735611569594,0.273312052951526,-6.52322436030075
"RNF26",0.0169724940271232,3.35902477690229,1.03328884933818,0.302715115094407,0.403867338735924,-6.85317301766786
"KDM3A",0.0169680060805333,3.3694074702018,0.770517150733098,0.441901350822531,0.54798486894922,-7.08947075096277
"CNOT1",0.01695858226753,3.53643902508276,1.35215318803455,0.177851525162979,0.25867095514682,-6.47513984821801
"C9orf123",0.0169467750680306,3.29487584476811,0.852516029766348,0.394946291538306,0.502244271159182,-7.02306648442244
"NAA25",0.0169453667009263,3.16054450536971,0.951668426241362,0.342412489836015,0.446454486100649,-6.93387847356454
"CAPRIN1",0.0169290421808377,3.62720401594161,1.33837452699444,0.182292110375477,0.264119090895617,-6.49353137408872
"DUS4L",0.0169066219111667,2.82122087334467,0.770708323485773,0.441788261908478,0.54787834732708,-7.08932369016169
"WDR25",0.016876172931755,3.03538080770871,0.67113622031524,0.502907214763123,0.606096059948209,-7.1610067309278
"RNF10",0.0168758434864258,3.57761918554686,1.69334206486801,0.0919454551746946,0.147269125445137,-5.96101622078493
"C12orf41",-0.0168747338598885,3.17996873605105,-1.01529564999805,0.311190143686899,0.413095690740099,-6.87152908295956
"INHBB",-0.0168705731685295,3.04857973383289,-0.230235130532182,0.818144109071118,0.865682417830821,-7.359704550184
"MANSC1",0.0168563004177757,3.30039988045724,0.469081307984844,0.63952185183885,0.724721900596371,-7.27614604983307
"LOC286135",-0.0168507329999026,-0.0148387051790187,-0.353118337008451,0.724371190476814,0.790511988047564,-7.32383494207175
"MPV17",-0.0168336044413282,3.25384987837802,-0.794861972196268,0.427634929486001,0.53440443188046,-7.07045165592824
"TIAF1",0.0168287952739741,3.11747550481798,0.441952201019143,0.659000737969192,0.741500020705633,-7.28850591254899
"CDV3",0.016826670028371,3.52795496860248,1.16838839885239,0.24403933483945,0.338353972502392,-6.70517255069414
"KIAA0562",0.0168170227332261,3.23884324658733,0.97349416002285,0.331482313452255,0.434565096504872,-6.91294124781103
"RNF19B",-0.016816973315954,3.1303388931258,-0.63271392573905,0.527642351505358,0.628213945358018,-7.1860321626599
"GFRAL",-0.0168106926267857,-0.0148034457459755,-0.40423261804661,0.686473097693829,0.763417184968451,-7.30446975742312
"IFNW1",0.0168018210567977,-0.196785409939984,0.185490273067953,0.853032268414178,0.89309779398421,-7.36901456236316
"ASXL1",-0.0167842051590048,3.42064120623991,-1.04527986880964,0.297153858034192,0.397711702527032,-6.84076304246893
"IQCF2",-0.0167718556496263,-0.0147692460198202,-0.53691412299239,0.591923018701789,0.686060091444827,-7.24202844140353
"GLTSCR1",-0.0167714528057656,3.11326804980306,-0.938298237699238,0.349221575884892,0.453688606515147,-6.94647200292257
"BSDC1",-0.0167599729367724,3.42837847749259,-1.30719533198361,0.192645480093089,0.277008639171959,-6.53446558430865
"SQRDL",0.0167314165752188,3.21622097678988,0.369852038755382,0.711883616628648,0.784360367362015,-7.31778259696561
"MMS19",0.0167301527513439,3.35998312342262,1.15881624587756,0.247911227678319,0.34275534469611,-6.7162490372865
"POTEB",-0.0167267401632287,-0.0147295174571716,-0.665991641438839,0.506182969662128,0.608866630267464,-7.16444267767884
"ZNF646",-0.0167264819942075,3.1676631830393,-0.947552670185204,0.34449936548102,0.448652925341436,-6.93777396291276
"BCYRN1",-0.0167243398461362,-0.014727403745105,-0.286824187146283,0.774543518379417,0.830689575755157,-7.34506184579675
"FUS",0.0167189074602279,3.66709419110114,1.43903517655487,0.151701903005294,0.225988397091719,-6.35491597537829
"CSNK1A1",-0.016703455428611,3.59739684524217,-1.44726025158387,0.149387810706619,0.222936663967198,-6.34315440062194
"COX19",0.0166922006091905,3.12027187563443,0.880187559084079,0.379812884867439,0.486005171638543,-6.99915416411672
